Order ID,Order No,Customer Name,Email,Phone,Status,Channel,Store No,Order Date,Total Amount,Payment Status,Payment Method,Order Type,SLA Status,Items Count
ORD-0001,ORD-0001,Customer 1,customer1@example.com,+66843740700,READY_FOR_PICKUP,FoodDelivery,STR-7691,"01/08/2026, 12:03:00",984.51,PAID,CREDIT_CARD,DELIVERY,On Track,5
ORD-0002,ORD-0002,Customer 2,customer2@example.com,+66523445962,OUT_FOR_DELIVERY,GrabMart,STR-3766,"01/10/2026, 16:43:00",247.26,FAILED,CASH,PICKUP,On Track,2
ORD-0003,ORD-0003,Customer 3,customer3@example.com,+66121275284,PROCESSING,GrabMart,STR-2174,"01/07/2026, 06:30:00",255.91,PENDING,QR_CODE,PICKUP,On Track,2
ORD-0004,ORD-0004,Customer 4,customer4@example.com,+66721353892,SUBMITTED,Tops Online,STR-6102,"01/06/2026, 13:54:00",1041.60,FAILED,CREDIT_CARD,PICKUP,On Track,5
ORD-0005,ORD-0005,Customer 5,customer5@example.com,+66733854754,READY_FOR_PICKUP,Tops Online,STR-6801,"01/07/2026, 09:46:00",532.21,FAILED,WALLET,PICKUP,Breach,3
ORD-0006,ORD-0006,Customer 6,customer6@example.com,+66593223444,SUBMITTED,Tops Online,STR-3330,"01/08/2026, 14:33:00",350.64,PENDING,QR_CODE,DELIVERY,On Track,2
ORD-0007,ORD-0007,Customer 7,customer7@example.com,+66921752345,OUT_FOR_DELIVERY,LINE MAN,STR-5935,"01/09/2026, 03:06:00",353.49,PAID,QR_CODE,DELIVERY,On Track,2
ORD-0008,ORD-0008,Customer 8,customer8@example.com,+66425345615,PROCESSING,FoodDelivery,STR-1878,"01/09/2026, 00:42:00",874.89,PAID,CASH,DELIVERY,On Track,4
ORD-0009,ORD-0009,Customer 9,customer9@example.com,+66744372529,READY_FOR_PICKUP,ShopeeFood,STR-8199,"01/11/2026, 22:30:00",562.76,PAID,CASH,PICKUP,Breach,4
ORD-0010,ORD-0010,Customer 10,customer10@example.com,+66799770971,OUT_FOR_DELIVERY,LINE MAN,STR-8079,"01/11/2026, 12:06:00",565.91,PAID,QR_CODE,PICKUP,Breach,4
ORD-0011,ORD-0011,Customer 11,customer11@example.com,+66610868156,DELIVERED,GrabMart,STR-3851,"01/08/2026, 00:02:00",501.93,PENDING,WALLET,DELIVERY,On Track,2
ORD-0012,ORD-0012,Customer 12,customer12@example.com,+66844554693,DELIVERED,ShopeeFood,STR-8023,"01/05/2026, 15:01:00",1240.44,PAID,CASH,PICKUP,On Track,4
ORD-0013,ORD-0013,Customer 13,customer13@example.com,+66657885002,SUBMITTED,Tops Online,STR-9987,"01/10/2026, 21:55:00",381.31,PENDING,CASH,DELIVERY,On Track,1
ORD-0014,ORD-0014,Customer 14,customer14@example.com,+66399846603,PROCESSING,FoodDelivery,STR-5352,"01/10/2026, 14:03:00",652.73,PENDING,CASH,PICKUP,Near Breach,3
ORD-0015,ORD-0015,Customer 15,customer15@example.com,+66696424994,READY_FOR_PICKUP,LINE MAN,STR-6812,"01/09/2026, 14:37:00",813.81,FAILED,QR_CODE,DELIVERY,Breach,4
ORD-0016,ORD-0016,Customer 16,customer16@example.com,+66300515649,OUT_FOR_DELIVERY,LINE MAN,STR-3464,"01/07/2026, 04:09:00",808.46,PAID,WALLET,PICKUP,On Track,4
ORD-0017,ORD-0017,Customer 17,customer17@example.com,+66834489479,OUT_FOR_DELIVERY,Tops Online,STR-8302,"01/06/2026, 15:45:00",659.95,FAILED,WALLET,DELIVERY,On Track,3
ORD-0018,ORD-0018,Customer 18,customer18@example.com,+66957082213,SUBMITTED,ShopeeFood,STR-2870,"01/11/2026, 22:29:00",747.16,FAILED,CASH,PICKUP,On Track,4
ORD-0019,ORD-0019,Customer 19,customer19@example.com,+66518149993,DELIVERED,GrabMart,STR-3782,"01/07/2026, 06:41:00",306.37,PAID,WALLET,DELIVERY,On Track,1
ORD-0020,ORD-0020,Customer 20,customer20@example.com,+66116958131,SUBMITTED,ShopeeFood,STR-8155,"01/07/2026, 01:21:00",688.08,PENDING,CREDIT_CARD,PICKUP,Breach,2
ORD-0021,ORD-0021,Customer 21,customer21@example.com,+66716033321,PROCESSING,FoodDelivery,STR-7752,"01/07/2026, 02:33:00",301.58,PENDING,QR_CODE,DELIVERY,On Track,3
ORD-0022,ORD-0022,Customer 22,customer22@example.com,+66617278174,CANCELLED,GrabMart,STR-2888,"01/10/2026, 21:22:00",545.45,PAID,CREDIT_CARD,PICKUP,On Track,4
ORD-0023,ORD-0023,Customer 23,customer23@example.com,+66814011879,DELIVERED,GrabMart,STR-6142,"01/09/2026, 05:47:00",378.48,PENDING,QR_CODE,DELIVERY,Near Breach,3
ORD-0024,ORD-0024,Customer 24,customer24@example.com,+66305170265,SUBMITTED,LINE MAN,STR-4542,"01/06/2026, 04:02:00",1026.06,FAILED,CASH,DELIVERY,Near Breach,3
ORD-0025,ORD-0025,Customer 25,customer25@example.com,+66201851002,READY_FOR_PICKUP,LINE MAN,STR-7405,"01/08/2026, 01:15:00",305.07,PAID,CASH,PICKUP,Breach,2
